"zone";"exc_id";"beh_typ";"y";"m";"sdev"
5;"LV2";"EXC";2013;7;10,69755
4;"GB1";"EXC";2012;7;19,3128
9;"LV2";"BGR";2013;7;9,717896
5;"GB1";"EXC";2012;7;17,79572
8;"LV2";"BGR";2013;7;19,33746
6;"GB1";"BGR";2012;7;15,41864
7;"LV2";"BGR";2013;7;4,582576
7;"GB1";"BGR";2012;7;15,85678
6;"LV2";"BGR";2013;7;7,581845
8;"GB1";"BGR";2012;7;11,80837
1;"LV1";"EXC";2013;7;9,784394
9;"GB1";"BGR";2012;7;6,103278
2;"LV1";"EXC";2013;7;0
1;"GB2";"EXC";2012;7;25,39162
3;"LV1";"EXC";2013;7;30,23631
2;"GB2";"EXC";2012;7;15,15699
4;"LV1";"EXC";2013;7;20,22645
3;"GB2";"EXC";2012;7;30,63673
5;"LV1";"EXC";2013;7;38,07702
4;"GB2";"EXC";2012;7;12,49
6;"LV1";"BGR";2013;7;16,20137
5;"GB2";"EXC";2012;7;15,96872
7;"LV1";"BGR";2013;7;4,121211
6;"GB2";"BGR";2012;7;17,01286
8;"LV1";"BGR";2013;7;12,91075
7;"GB2";"BGR";2012;7;3,179524
9;"LV1";"BGR";2013;7;0
8;"GB2";"BGR";2012;7;8,926785
1;"WD2";"EXC";2013;7;0
9;"GB2";"BGR";2012;7;11,30196
2;"WD2";"EXC";2013;7;17,23369
3;"WD2";"EXC";2013;7;23,79043
1;"LV2";"EXC";2012;7;27,23709
4;"WD2";"EXC";2013;7;37,30428
2;"LV2";"EXC";2012;7;24,3076
5;"WD2";"EXC";2013;7;4,89898
3;"LV2";"EXC";2012;7;17,9635
6;"WD2";"BGR";2013;7;0
4;"LV2";"EXC";2012;7;4,608077
7;"WD2";"BGR";2013;7;0
5;"LV2";"EXC";2012;7;24,45787
8;"WD2";"BGR";2013;7;0
6;"LV2";"BGR";2012;7;9,177929
9;"WD2";"BGR";2013;7;6,964194
7;"LV2";"BGR";2012;7;10,18577
1;"GB2";"EXC";2013;7;8,699857
8;"LV2";"BGR";2012;7;14,93946
2;"GB2";"EXC";2013;7;14,76429
9;"LV2";"BGR";2012;7;10,06774
3;"GB2";"EXC";2013;7;18,00998
1;"LV1";"EXC";2012;7;15,30063
4;"GB2";"EXC";2013;7;17,76892
2;"LV1";"EXC";2012;7;0
5;"GB2";"EXC";2013;7;13,90088
3;"LV1";"EXC";2012;7;4,630065
6;"GB2";"BGR";2013;7;4,299346
4;"LV1";"EXC";2012;7;27,79276
7;"GB2";"BGR";2013;7;4,136348
5;"LV1";"EXC";2012;7;2,087912
8;"GB2";"BGR";2013;7;9,871043
6;"LV1";"BGR";2012;7;1,536026
9;"GB2";"BGR";2013;7;13,21694
7;"LV1";"BGR";2012;7;12,5075
1;"GB1";"EXC";2013;7;2,803458
8;"LV1";"BGR";2012;7;11,82952
2;"GB1";"EXC";2013;7;34,27463
9;"LV1";"BGR";2012;7;4,993746
1;"GB1";"EXC";2012;9;7,210019
3;"GB1";"EXC";2013;7;19,38266
2;"GB1";"EXC";2012;9;23,57965
4;"GB1";"EXC";2013;7;10,78121
3;"GB1";"EXC";2012;9;24,21131
6;"GB1";"BGR";2013;7;6,527586
4;"GB1";"EXC";2012;9;19,2873
5;"GB1";"EXC";2012;9;22,60946
7;"GB1";"BGR";2013;7;14,13716
6;"GB1";"BGR";2012;9;6,132648
8;"GB1";"BGR";2013;7;19,22848
7;"GB1";"BGR";2012;9;17,21509
9;"GB1";"BGR";2013;7;16,07599
8;"GB1";"BGR";2012;9;5,024938
1;"WD1";"EXC";2013;7;0,9682459
9;"GB1";"BGR";2012;9;31,17466
3;"WD1";"EXC";2013;7;22,56622
1;"GB2";"EXC";2012;9;1,452369
4;"WD1";"EXC";2013;7;15,0229
2;"GB2";"EXC";2012;9;25,82513
5;"WD1";"EXC";2013;7;24,55574
3;"GB2";"EXC";2012;9;23,06479
6;"WD1";"BGR";2013;7;1,053269
4;"GB2";"EXC";2012;9;21,15087
7;"WD1";"BGR";2013;7;20,53922
5;"GB2";"EXC";2012;9;18,74458
8;"WD1";"BGR";2013;7;20,67607
6;"GB2";"BGR";2012;9;7,258615
9;"WD1";"BGR";2013;7;1,984313
7;"GB2";"BGR";2012;9;13,95025
1;"LV2";"EXC";2013;8;3,018174
8;"GB2";"BGR";2012;9;10,86278
2;"LV2";"EXC";2013;8;7,761081
9;"GB2";"BGR";2012;9;14,31291
3;"LV2";"EXC";2013;8;31,10768
1;"WD1";"EXC";2012;9;2,384848
4;"LV2";"EXC";2013;8;23,90084
2;"WD1";"EXC";2012;9;9,75881
5;"LV2";"EXC";2013;8;26,09089
3;"WD1";"EXC";2012;9;43,22741
6;"LV2";"BGR";2013;8;28,88771
4;"WD1";"EXC";2012;9;18,67987
7;"LV2";"BGR";2013;8;18,97325
5;"WD1";"EXC";2012;9;4,013649
8;"LV2";"BGR";2013;8;19,21873
6;"WD1";"BGR";2012;9;1,111024
9;"LV2";"BGR";2013;8;0,6614378
7;"WD1";"BGR";2012;9;20,34968
1;"LV1";"EXC";2013;8;9,102713
8;"WD1";"BGR";2012;9;29,2508
3;"LV1";"EXC";2013;8;2,222049
9;"WD1";"BGR";2012;9;4,092676
4;"LV1";"EXC";2013;8;19,5624
1;"LV1";"EXC";2012;9;4,998437
5;"LV1";"EXC";2013;8;12,19375
2;"LV1";"EXC";2012;9;45,46822
6;"LV1";"BGR";2013;8;2,487468
3;"LV1";"EXC";2012;9;31,52677
7;"LV1";"BGR";2013;8;2,204399
4;"LV1";"EXC";2012;9;25,28834
8;"LV1";"BGR";2013;8;19,74802
5;"LV1";"EXC";2012;9;34,11744
9;"LV1";"BGR";2013;8;2
1;"WD2";"EXC";2013;8;1,391941
9;"LV1";"BGR";2012;9;15,04784
2;"WD2";"EXC";2013;8;25,35128
8;"LV1";"BGR";2012;9;26,35544
3;"WD2";"EXC";2013;8;0
7;"LV1";"BGR";2012;9;0,8660254
4;"WD2";"EXC";2013;8;0
6;"LV1";"BGR";2012;9;20,6322
5;"WD2";"EXC";2013;8;22,89617
1;"LV2";"EXC";2012;9;7,631145
6;"WD2";"BGR";2013;8;1,165922
4;"LV2";"EXC";2012;9;33,30142
7;"WD2";"BGR";2013;8;1,118034
5;"LV2";"EXC";2012;9;36,22844
8;"WD2";"BGR";2013;8;1,47902
2;"LV2";"EXC";2012;9;0
9;"WD2";"BGR";2013;8;1,57619
3;"LV2";"EXC";2012;9;1,727534
1;"GB2";"EXC";2013;8;1,920286
7;"LV2";"BGR";2012;9;1,165922
2;"GB2";"EXC";2013;8;19,96207
8;"LV2";"BGR";2012;9;13,89638
3;"GB2";"EXC";2013;8;18,43909
9;"LV2";"BGR";2012;9;0,6959705
4;"GB2";"EXC";2013;8;26,50206
6;"LV2";"BGR";2012;9;1,63936
5;"GB2";"EXC";2013;8;16,88194
1;"WD2";"EXC";2012;9;1,870829
6;"GB2";"BGR";2013;8;4,085034
4;"WD2";"EXC";2012;9;29,54552
7;"GB2";"BGR";2013;8;27,69364
5;"WD2";"EXC";2012;9;18,14826
8;"GB2";"BGR";2013;8;14,09288
2;"WD2";"EXC";2012;9;39,77574
9;"GB2";"BGR";2013;8;12,36363
3;"WD2";"EXC";2012;9;38,71995
1;"WD1";"EXC";2013;8;1,053269
9;"WD2";"BGR";2012;9;8,781195
2;"WD1";"EXC";2013;8;2,912795
6;"WD2";"BGR";2012;9;1,224745
3;"WD1";"EXC";2013;8;4,484348
7;"WD2";"BGR";2012;9;10,14812
4;"WD1";"EXC";2013;8;10,27132
8;"WD2";"BGR";2012;9;1,322876
1;"WD1";"EXC";2012;7;25,95188
5;"WD1";"EXC";2013;8;9,867085
2;"WD1";"EXC";2012;7;6,062178
6;"WD1";"BGR";2013;8;1,47902
3;"WD1";"EXC";2012;7;29,95309
7;"WD1";"BGR";2013;8;29,06458
4;"WD1";"EXC";2012;7;24,59897
8;"WD1";"BGR";2013;8;19,11438
5;"WD1";"EXC";2012;7;5,782517
9;"WD1";"BGR";2013;8;2,027159
1;"GB1";"EXC";2013;8;1,408678
2;"GB1";"EXC";2013;8;14,48221
8;"WD1";"BGR";2012;7;16,02293
3;"GB1";"EXC";2013;8;19,63376
9;"WD1";"BGR";2012;7;12,79099
4;"GB1";"EXC";2013;8;15,3455
6;"WD1";"BGR";2012;7;7,761081
5;"GB1";"EXC";2013;8;6,963072
7;"WD1";"BGR";2012;7;0,599479
6;"GB1";"BGR";2013;8;14,21047
1;"WD2";"EXC";2012;7;2,781075
7;"GB1";"BGR";2013;8;4,313859
2;"WD2";"EXC";2012;7;2,872281
8;"GB1";"BGR";2013;8;11,27982
3;"WD2";"EXC";2012;7;2,692582
9;"GB1";"BGR";2013;8;1,316957
4;"WD2";"EXC";2012;7;0
5;"WD2";"EXC";2012;7;4,662014
1;"LV2";"EXC";2013;9;1,363589
6;"WD2";"BGR";2012;7;0,9682459
2;"LV2";"EXC";2013;9;5,666513
7;"WD2";"BGR";2012;7;0,9921567
3;"LV2";"EXC";2013;9;32,21704
8;"WD2";"BGR";2012;7;0,8660254
4;"LV2";"EXC";2013;9;20,5179
9;"WD2";"BGR";2012;7;1,118034
5;"LV2";"EXC";2013;9;25,05993
6;"LV2";"BGR";2013;9;30,59412
7;"LV2";"BGR";2013;9;5,238082
8;"LV2";"BGR";2013;9;30,37166
9;"LV2";"BGR";2013;9;25,63171
1;"LV1";"EXC";2013;9;0
4;"LV1";"EXC";2013;9;17,95132
5;"LV1";"EXC";2013;9;6,469882
2;"LV1";"EXC";2013;9;22,04222
3;"LV1";"EXC";2013;9;17,14233
6;"LV1";"BGR";2013;9;0
7;"LV1";"BGR";2013;9;0
8;"LV1";"BGR";2013;9;1,494783
9;"LV1";"BGR";2013;9;1,47902
1;"WD2";"EXC";2013;9;0
2;"WD2";"EXC";2013;9;22,57072
3;"WD2";"EXC";2013;9;0
4;"WD2";"EXC";2013;9;0
5;"WD2";"EXC";2013;9;31,0926
6;"WD2";"BGR";2013;9;1,920286
7;"WD2";"BGR";2013;9;1,118034
8;"WD2";"BGR";2013;9;1,47902
9;"WD2";"BGR";2013;9;2,368412
1;"WD1";"EXC";2013;9;1,053269
2;"WD1";"EXC";2013;9;9,350802
3;"WD1";"EXC";2013;9;14,22146
4;"WD1";"EXC";2013;9;9
5;"WD1";"EXC";2013;9;31,72908
6;"WD1";"BGR";2013;9;1,57619
7;"WD1";"BGR";2013;9;25,96121
8;"WD1";"BGR";2013;9;34,78662
9;"WD1";"BGR";2013;9;1,408678
1;"GB2";"EXC";2013;9;1,713914
2;"GB2";"EXC";2013;9;12,27548
3;"GB2";"EXC";2013;9;0
4;"GB2";"EXC";2013;9;25,06492
5;"GB2";"EXC";2013;9;11,41271
6;"GB2";"BGR";2013;9;2,061553
7;"GB2";"BGR";2013;9;20,73305
8;"GB2";"BGR";2013;9;10,787
9;"GB2";"BGR";2013;9;14,11504
1;"GB1";"EXC";2013;9;1,218349
2;"GB1";"EXC";2013;9;18,84144
3;"GB1";"EXC";2013;9;21,7884
4;"GB1";"EXC";2013;9;22,58837
5;"GB1";"EXC";2013;9;17,32367
6;"GB1";"BGR";2013;9;14,56398
7;"GB1";"BGR";2013;9;4,031129
8;"GB1";"BGR";2013;9;14,81553
9;"GB1";"BGR";2013;9;14,19892
2;"LV1";"EXC";2013;8;0
2;"WD1";"EXC";2013;7;0
5;"GB1";"";2013;7;19,5
