"zone";"exc_id";"beh_typ";"y";"m";"h_gem"
7;"WD1";"BGR";2013;9;NA
8;"WD1";"BGR";2013;9;NA
9;"WD1";"BGR";2013;9;NA
1;"GB2";"EXC";2013;9;NA
2;"GB2";"EXC";2013;9;NA
3;"GB2";"EXC";2013;9;NA
4;"GB2";"EXC";2013;9;NA
5;"GB2";"EXC";2013;9;NA
6;"GB2";"BGR";2013;9;NA
7;"GB2";"BGR";2013;9;NA
8;"GB2";"BGR";2013;9;NA
9;"GB2";"BGR";2013;9;NA
1;"GB1";"EXC";2013;9;NA
2;"GB1";"EXC";2013;9;NA
3;"GB1";"EXC";2013;9;NA
4;"GB1";"EXC";2013;9;NA
5;"GB1";"EXC";2013;9;NA
6;"GB1";"BGR";2013;9;NA
7;"GB1";"BGR";2013;9;NA
8;"GB1";"BGR";2013;9;NA
9;"GB1";"BGR";2013;9;NA
2;"LV1";"EXC";2013;8;NA
2;"WD1";"EXC";2013;7;NA
5;"GB1";"";2013;7;NA
