"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"9/08/2011";2011;8;"LV1";"Excl, Centrum";"ja";"EXC";"nee";5;4,408798
"9/08/2011";2011;8;"LV1";"Begraasd, A";"ja";"BGR";"nee";6;5,192769
"9/08/2011";2011;8;"LV1";"Begraasd, B";"ja";"BGR";"nee";5;5,634714
"9/08/2011";2011;8;"LV1";"Begraasd, C";"ja";"BGR";"nee";0;0,649519
"9/08/2011";2011;8;"LV1";"Begraasd, D";"ja";"BGR";"nee";30;18,84808
"9/08/2011";2011;8;"LV2";"Excl, zone A";"ja";"EXC";"nee";5;9,027518
"9/08/2011";2011;8;"LV2";"Excl, zone B";"ja";"EXC";"nee";30;17,88854
"9/08/2011";2011;8;"LV2";"Excl, zone C";"ja";"EXC";"nee";26;7,034513
"9/08/2011";2011;8;"LV2";"Excl, zone D";"ja";"EXC";"nee";65;14,57256
"9/08/2011";2011;8;"LV2";"Excl, Centrum";"ja";"EXC";"nee";28;20,28392
"9/08/2011";2011;8;"LV2";"Begraasd, A";"ja";"BGR";"nee";11;8,325413
"9/08/2011";2011;8;"LV2";"Begraasd, B";"ja";"BGR";"nee";13;12,86574
"9/08/2011";2011;8;"LV2";"Begraasd, C";"ja";"BGR";"nee";33;14,44602
"9/08/2011";2011;8;"LV2";"Begraasd, D";"ja";"BGR";"nee";7;7,171994
"26/09/2011";2011;9;"GB1";"Excl, zone A";"ja";"EXC";"nee";12;5,410854
"26/09/2011";2011;9;"GB1";"Excl, zone B";"ja";"EXC";"nee";31;11,0282
"26/09/2011";2011;9;"GB1";"Excl, zone C";"ja";"EXC";"nee";18;6,561905
"26/09/2011";2011;9;"GB1";"Excl, zone D";"ja";"EXC";"nee";11;3,189338
"26/09/2011";2011;9;"GB1";"Excl, Centrum";"ja";"EXC";"nee";16;6,562202
"26/09/2011";2011;9;"GB1";"Begraasd, A";"ja";"BGR";"nee";9;3,69755
"26/09/2011";2011;9;"GB1";"Begraasd, B";"ja";"BGR";"nee";8;2,492959
"26/09/2011";2011;9;"GB1";"Begraasd, C";"ja";"BGR";"nee";9;2,480392
"26/09/2011";2011;9;"GB1";"Begraasd, D";"ja";"BGR";"nee";14;5,905175
"26/09/2011";2011;9;"GB2";"Excl, zone A";"ja";"EXC";"nee";60;21,93732
"26/09/2011";2011;9;"GB2";"Excl, zone B";"ja";"EXC";"nee";26;19,33423
"26/09/2011";2011;9;"GB2";"Excl, zone C";"ja";"EXC";"nee";25;8,719366
"26/09/2011";2011;9;"GB2";"Excl, zone D";"ja";"EXC";"nee";62;32,5667
"26/09/2011";2011;9;"GB2";"Excl, Centrum";"ja";"EXC";"nee";28;15,93725
"26/09/2011";2011;9;"GB2";"Begraasd, A";"ja";"BGR";"nee";18;7,787961
"26/09/2011";2011;9;"GB2";"Begraasd, B";"ja";"BGR";"nee";27;16,28026
"26/09/2011";2011;9;"GB2";"Begraasd, C";"ja";"BGR";"nee";9;4,546633
"26/09/2011";2011;9;"GB2";"Begraasd, D";"ja";"BGR";"nee";2;2,315032
"26/09/2011";2011;9;"WD1";"Excl, zone A";"nee";"EXC";"nee";0;0
"26/09/2011";2011;9;"WD1";"Excl, zone B";"ja";"EXC";"nee";2;0,7261844
"26/09/2011";2011;9;"WD1";"Excl, zone C";"ja";"EXC";"nee";62;36,25684
"26/09/2011";2011;9;"WD1";"Excl, zone D";"ja";"EXC";"nee";13;22,60531
"26/09/2011";2011;9;"WD1";"Excl, Centrum";"ja";"EXC";"nee";3;2,598076
"26/09/2011";2011;9;"WD1";"Begraasd, A";"ja";"BGR";"nee";38;17,22995
"26/09/2011";2011;9;"WD1";"Begraasd, B";"ja";"BGR";"nee";39;20,24759
"26/09/2011";2011;9;"WD1";"Begraasd, C";"ja";"BGR";"nee";2;2,833257
"26/09/2011";2011;9;"WD1";"Excl, zone D";"ja";"EXC";"nee";8;17,11313
"27/09/2011";2011;9;"WD2";"Excl, zone A";"ja";"EXC";"nee";13;20,61401
"27/09/2011";2011;9;"WD2";"Excl, zone B";"ja";"EXC";"nee";57;12,78778
"27/09/2011";2011;9;"WD2";"Excl, zone C";"nee";"EXC";"nee";0;0
"27/09/2011";2011;9;"WD2";"Excl, zone D";"ja";"EXC";"nee";15;26,07172
"27/09/2011";2011;9;"WD2";"Excl, Centrum";"nee";"EXC";"nee";0;0
"27/09/2011";2011;9;"WD2";"Begraasd, A";"ja";"BGR";"nee";1;1,111024
"27/09/2011";2011;9;"WD2";"Begraasd, B";"nee";"BGR";"nee";0;0
"27/09/2011";2011;9;"WD2";"Begraasd, C";"ja";"BGR";"nee";1;1,539836
"27/09/2011";2011;9;"WD2";"Begraasd, D";"nee";"BGR";"nee";0;0
"27/09/2011";2011;9;"LV1";"Excl, zone A";"ja";"EXC";"nee";39;31,64155
"27/09/2011";2011;9;"LV1";"Excl, zone B";"ja";"EXC";"nee";22;24,9649
"27/09/2011";2011;9;"LV1";"Excl, zone C";"ja";"EXC";"nee";0;0,8267973
"27/09/2011";2011;9;"LV1";"Excl, zone D";"nee";"EXC";"nee";0;0
"27/09/2011";2011;9;"LV1";"Excl, Centrum";"ja";"EXC";"nee";35;24,15566
"27/09/2011";2011;9;"LV1";"Begraasd, A";"ja";"BGR";"nee";74;34,22627
"27/09/2011";2011;9;"LV1";"Begraasd, B";"ja";"BGR";"nee";15;16,01842
"27/09/2011";2011;9;"LV1";"Begraasd, C";"ja";"BGR";"nee";4;1,316957
"27/09/2011";2011;9;"LV1";"Begraasd, D";"ja";"BGR";"nee";61;43,87656
"27/09/2011";2011;9;"LV2";"Excl, zone A";"ja";"EXC";"nee";19;18,70453
"27/09/2011";2011;9;"LV2";"Excl, zone B";"ja";"EXC";"nee";62;25,40546
"27/09/2011";2011;9;"LV2";"Excl, zone C";"ja";"EXC";"nee";68;38,55713
"27/09/2011";2011;9;"LV2";"Excl, zone D";"ja";"EXC";"nee";50;41,70277
"27/09/2011";2011;9;"LV2";"Excl, Centrum";"ja";"EXC";"nee";26;18,67987
"27/09/2011";2011;9;"LV2";"Begraasd, A";"ja";"BGR";"nee";40;23,61797
"27/09/2011";2011;9;"LV2";"Begraasd, B";"ja";"BGR";"nee";12;12,31979
"27/09/2011";2011;9;"LV2";"Begraasd, C";"ja";"BGR";"nee";23;11,36263
"27/09/2011";2011;9;"LV2";"Begraasd, D";"ja";"BGR";"nee";50;15,67629
"7/06/2012";2012;6;"LV2";"Excl, Centrum";"ja";"EXC";"nee";NA;8,866193
"7/06/2012";2012;6;"LV2";"Excl, zone D";"ja";"EXC";"nee";NA;8,037995
