ID_Exclosure_opname;Datum;jaar;maand;ID_Exclosure;ID_Exclosure_zone;Deelgebied;Vegetatie aanwezig;Begraasd/Niet Begr;Afgebrand 2011;Opmerking;Afstand_m;Hoek_gr;Bedekking mos;Bedekking kale bodem;strooisel ingezameld;bodemstalen ingezameld;H1_cm;H2_cm;H3_cm;H4_cm;H5_cm;H6_cm;H7_cm;H8_cm;H_gemd;Sdev
52;28/06/2011;2011;7;6;Begraasd, B;LV;WAAR;B;ONWAAR;;16,6;30;nvt;80-90;ONWAAR;WAAR;10;6;13;20,5;17;12,5;9;13,5;13;4,271544
53;28/06/2011;2011;7;6;Begraasd, C;LV;WAAR;B;ONWAAR;;0;0;;60-70;ONWAAR;WAAR;17;18;7;10;15;11;12;6;12;4,123106
54;28/06/2011;2011;7;6;Begraasd, D;LV;WAAR;B;ONWAAR;;0;0;;90-100;ONWAAR;WAAR;7;4;0;0;0;0;0;0;1;2,496873
55;8/08/2011;2011;8;1;Excl, Centrum;GB;WAAR;NB;ONWAAR;;0;0;50-60;5-10;ONWAAR;ONWAAR;15;24;18;23;34;19;13;26;22;6,30476
56;8/08/2011;2011;8;1;Excl, zone A;GB;WAAR;NB;ONWAAR;;0;0;60-70;5-10;ONWAAR;WAAR;22;26;25;29;19;19;23;33;24;4,527693
57;8/08/2011;2011;8;1;Excl, zone B;GB;WAAR;NB;ONWAAR;;0;0;10-20;5-10;WAAR;WAAR;38;17;30;36;40;42;15,5;33;31;9,458586
58;8/08/2011;2011;8;1;Excl, zone C;GB;WAAR;NB;ONWAAR;;0;0;10-20;;ONWAAR;WAAR;11;11;10;12;13;15;12;9;12;1,727534
59;8/08/2011;2011;8;1;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;80-90;< 1;ONWAAR;WAAR;24;20;32;24;29;40;24;27;28;5,830952
60;8/08/2011;2011;8;1;Begraasd, A;GB;WAAR;B;ONWAAR;;8,7;325;70-80;1-5;ONWAAR;WAAR;2;4;12;8;6;5;3;7;6;2,97647
61;8/08/2011;2011;8;1;Begraasd, B;GB;WAAR;B;ONWAAR;;6;55;70-80;1-5;ONWAAR;WAAR;9;9;4;6;7;8;7;8;7;1,561249
62;8/08/2011;2011;8;1;Begraasd, C;GB;WAAR;B;ONWAAR;;10;140;20-30;1-5;ONWAAR;WAAR;12;9;12;6;8;10;5;8;9;2,384848
63;8/08/2011;2011;8;1;Begraasd, D;GB;WAAR;B;ONWAAR;;10;274;70-80;5-10;ONWAAR;WAAR;0;5;6;7;7;4;11;0;5;3,464102
64;8/08/2011;2011;8;2;Excl, zone A;GB;WAAR;NB;ONWAAR;;0;0;20-30;1-5;WAAR;WAAR;38;53;28;60;35;76;23;62;47;17,43873
65;8/08/2011;2011;8;2;Excl, zone B;GB;WAAR;NB;ONWAAR;;0;0;5-10;50-60;WAAR;WAAR;19;22;35;39;22;58;27;38;32;12,05197
