"";"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"ADF";"LIG";"DS_105";"N_DS";"NDF";"RE_NIR";"RE_NATCHEM";"VOCHT_105";"HEMCEL";"CEL";"prt_DS";"yearlocation";"monthlocation";"obs_M_Y";"datelocation";"EXC_ID_BEH_TYP"
"212";"LV1";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;7,68;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
"213";"LV1";"EXC";"jul";"2012";"P";38,03;6,09;NA;NA;65,24;7,63;NA;NA;27,21;31,94;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
"214";"LV2";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"215";"LV2";"BGR";"jul";"2012";"P";36,7;5,68;NA;NA;64,75;8,41;NA;NA;28,05;31,02;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"216";"LV2";"BGR";"jul";"2012";"S";NA;NA;NA;NA;NA;4,92;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"217";"LV2";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;8,06;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"218";"LV2";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;6,58;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"219";"LV2";"EXC";"jul";"2012";"P";41,34;5,98;NA;NA;67,71;5,05;NA;NA;26,37;35,36;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"220";"LV2";"EXC";"jul";"2012";"S";41,56;6,74;NA;NA;67,2;4,7;NA;NA;25,64;34,82;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"221";"WD1";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;6,25;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 BGR"
