ID;EXC_ID;BEH_TYP;M;Y;VEG_TYP;ADF;ADL;DS_105;N_DS;NDF;RE;RE_DS;VOCHT_105
166;WD2;BGR;jun;2013;P;38,04;6,67;904,91;17,17;67,77;10,46;10,75;95,09
167;WD2;BGR;jun;2013;S;48,65;8,86;914,36;6,38;78,00;2,90;4,00;85,64
168;WD2;EXC;aug;2013;A;33,51;16,38;908,07;10,90;47,08;6,93;6,81;91,93
169;WD2;EXC;jul;2013;A;28,08;16,89;902,66;10,56;41,82;9,57;6,63;97,34
170;WD2;EXC;jun;2013;A;22,86;12,77;882,76;13,76;36,39;10,14;8,63;117,24
171;WD2;EXC;sep;2013;A;25,49;14,16;899,21;13,33;39,33;11,48;8,31;100,79
172;WD2;EXC;aug;2011;P;33,91;5,91;908,31;30,62;63,10;17,17;19,13;91,69
173;WD2;EXC;jul;2013;F;;;928,16;;;;;71,84
174;WD2;EXC;aug;2013;H;35,93;17,77;908,67;11,64;49,28;6,24;7,25;91,33
175;WD2;EXC;jul;2013;H;33,73;16,93;909,26;9,59;45,11;5,15;6,00;90,74
176;WD2;EXC;jun;2013;H;30,08;6,72;905,00;12,68;42,69;16,27;7,94;95,00
177;WD2;EXC;sep;2013;H;34,68;15,97;905,11;11,37;50,32;6,05;7,13;94,89
178;WD2;EXC;jun;2011;P;31,77;7,37;907,78;39,28;58,59;21,58;24,56;92,22
179;WD2;EXC;aug;2013;P;45,96;6,22;917,50;6,73;75,29;3,22;4,19;82,50
180;WD2;EXC;jul;2013;P;48,96;7,44;918,51;7,50;76,71;3,97;4,69;81,49
181;WD2;EXC;jun;2013;P;40,05;7,55;907,97;16,44;68,34;9,30;10,25;92,03
182;WD2;EXC;sep;2013;P;44,49;7,16;914,19;7,66;72,56;4,70;4,81;85,81
183;WD2;EXC;sep;2011;P;;;910,48;16,19;;;10,13;89,52
184;WD2;EXC;sep;2011;S;;;913,31;9,72;;;6,06;86,69
185;WD2;EXC;aug;2013;S;43,02;9,24;917,62;10,80;69,60;4,41;6,75;82,38
186;WD2;EXC;jul;2013;S;48,05;9,70;916,80;6,16;74,14;3,24;3,88;83,20
187;WD2;EXC;jun;2013;S;47,31;1,52;911,18;9,17;68,90;12,88;5,75;88,82
188;WD2;EXC;sep;2013;S;37,95;9,45;908,12;12,23;55,01;1,78;7,63;91,88
189;GB1;BGR;jun;2012;A;;;;;;10,82;;
190;GB1;BGR;jun;2012;F;;;;;;8,62;;
191;GB1;BGR;jun;2012;S;40,65;9,23;;;66,05;9,22;;
192;GB2;BGR;jun;2012;F;32,11;5,42;;;62,22;7,78;;
193;LV2;BGR;jun;2012;S;;;;;;7,88;;
194;WD1;BGR;jun;2012;F;33,72;7,79;;;63,65;7,79;;
195;GB1;BGR;jul;2012;A;;;;;;7,85;;
196;GB1;BGR;jul;2012;F;32,82;5,97;;;60,32;8,64;;
197;GB1;BGR;jul;2012;S;;;;;;6,88;;
198;GB1;EXC;jul;2012;A;41,89;14,62;;;54,57;6,17;;
199;GB1;EXC;jul;2012;F;32,80;6,31;;;58,94;6,94;;
200;GB2;BGR;jul;2012;A;;;;;;13,68;;
201;GB2;BGR;jul;2012;F;36,68;7,03;;;64,64;6,00;;
202;GB2;BGR;jul;2012;P;34,36;6,02;;;63,07;11,79;;
203;GB2;BGR;jul;2012;S;42,22;9,64;;;70,15;9,34;;
204;GB2;EXC;jul;2012;F;38,54;6,46;;;66,19;6,62;;
205;GB2;EXC;jul;2012;P;33,18;5,47;;;61,09;11,85;;
206;GB2;EXC;jul;2012;S;36,35;7,56;;;63,52;8,37;;
207;LV1;BGR;jul;2012;F;;;;;;7,95;;
208;LV1;BGR;jul;2012;H;;;;;;6,88;;
209;LV1;BGR;jul;2012;P;40,57;6,07;;;69,78;6,50;;
210;LV1;BGR;jul;2012;S;42,17;6,61;;;67,89;5,21;;
211;LV1;EXC;jul;2012;F;;;;;;17,13;;
212;LV1;EXC;jul;2012;H;;;;;;7,68;;
213;LV1;EXC;jul;2012;P;38,03;6,09;;;65,24;7,63;;
214;LV2;BGR;jul;2012;H;;;;;;;;
215;LV2;BGR;jul;2012;P;36,70;5,68;;;64,75;8,41;;
216;LV2;BGR;jul;2012;S;;;;;;4,92;;
217;LV2;EXC;jul;2012;F;;;;;;8,06;;
218;LV2;EXC;jul;2012;H;;;;;;6,58;;
219;LV2;EXC;jul;2012;P;41,34;5,98;;;67,71;5,05;;
220;LV2;EXC;jul;2012;S;41,56;6,74;;;67,20;4,70;;
221;WD1;BGR;jul;2012;H;;;;;;6,25;;
222;WD1;BGR;jul;2012;P;37,96;5,81;;;67,20;7,06;;
223;WD1;EXC;jul;2012;F;;;;;;8,44;;
224;WD1;EXC;jul;2012;H;;;;;;7,95;;
